,lat
496,-49.67
497,61.99
498,84.88
499,19.53
500,-7.35
501,4.42
502,135.6
503,62.67
504,-39.25
505,-17.71
506,-73.25
507,-3.75
508,156.52
509,51.5
510,63.04
511,26.0
512,35.38
513,-23.86
514,34.88
515,36.92
516,-23.71
517,64.89
518,39.51
519,68.05
520,-108.55
521,39.06
522,42.45
523,18.39
524,-22.43
525,63.84
526,129.48
527,28.37
528,45.47
529,-19.52
530,46.32
531,-15.72
532,-24.5
533,14.9
534,-68.74
535,10.34
536,-53.38
537,-31.58
538,135.88
539,46.49
540,139.15
541,50.12
542,173.17
543,-35.17
544,-151.75
545,-16.48
546,10.22
547,47.8
548,149.67
549,62.55
550,-4.44
551,37.47
552,135.29
553,43.74
554,73.08
555,-0.6
556,150.8
557,-2.57
558,166.1
559,60.47
560,143.55
561,-35.34
562,102.27
563,-3.8
564,102.54
565,14.69
566,72.89
567,2.67
568,-96.47
569,15.74
570,-122.43
571,37.46
572,57.53
573,22.93
574,139.87
575,34.98
576,-51.72
577,64.18
578,-68.51
579,63.75
580,79.57
581,27.4
582,6.13
583,62.58
584,-55.98
585,-4.28
586,-4.41
587,5.21
588,17.94
589,-33.01
590,-9.52
591,52.05
592,13.08
593,38.15
594,-57.68
595,-36.31
596,-173.98
597,-18.65
598,134.08
599,-0.87
600,57.52
601,-20.52
602,-64.71
603,-3.35
604,134.27
605,-12.07
606,-126.83
607,65.28
608,-64.35
609,-33.13
610,45.76
611,64.9
612,124.85
613,1.49
614,127.47
615,63.92
616,-52.95
617,5.38
618,-53.78
619,5.66
620,132.43
621,62.0
622,100.35
623,-0.95
624,163.07
625,59.24
626,80.26
627,41.12
628,-118.97
629,50.25
630,-50.05
631,-0.18
632,-0.95
633,37.74
634,-58.74
635,-38.55
636,35.33
637,39.58
638,173.78
639,-35.1
640,96.13
641,4.14
642,-0.68
643,50.78
644,42.9
645,62.11
646,-72.33
647,42.16
648,-17.03
649,20.93
650,23.27
651,-16.12
652,177.48
653,64.75
654,78.82
655,44.83
656,33.72
657,60.8
658,10.6
659,60.63
660,148.68
661,-33.83
662,-117.74
663,40.97
664,-93.22
665,45.02
666,-73.13
667,-41.77
668,59.73
669,52.08
670,37.62
671,55.75
672,116.59
673,34.7
674,150.67
675,-10.62
676,120.87
677,15.52
678,139.27
679,-35.12
680,147.18
681,-9.44
682,153.62
683,-28.65
684,-83.51
685,31.45
686,-57.43
687,49.17
688,-114.06
689,27.98
690,70.12
691,21.12
692,126.98
693,37.57
694,-84.53
695,39.18
696,15.16
697,-26.65
698,73.55
699,16.85
700,100.34
701,5.41
702,-54.38
703,4.25
704,-76.41
705,3.04
706,50.26
707,44.51
708,-3.53
709,18.9
710,-63.06
711,18.22
712,54.37
713,39.51
714,-73.82
715,-41.87
716,-73.41
717,41.37
718,-38.88
719,-15.86
720,-94.1
721,30.09
722,-64.5
723,-31.42
724,150.47
725,-35.35
726,122.21
727,-8.62
728,-34.83
729,-6.98
730,151.21
731,-33.87
732,102.28
733,60.34
734,113.28
735,46.68
736,-54.97
737,-15.97
738,150.5
739,-23.38
740,143.23
741,51.71
742,37.38
743,55.7
744,53.09
745,67.67
746,122.42
747,17.08
748,127.4
749,0.8
750,-73.05
751,-36.83
752,-98.75
753,16.52
754,-3.67
755,16.41
756,103.53
757,48.81
758,39.58
759,55.61
760,-1.08
761,6.8
762,167.38
763,-16.07
764,-77.23
765,48.38
766,-6.26
767,43.41
768,-51.99
769,-6.64
770,-121.25
771,36.25
772,69.22
773,41.26
774,5.14
775,61.99
776,118.57
777,-20.32
778,146.03
779,-17.53
780,-74.84
781,1.33
